t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,-3.278025044450891962e-02,-6.965665296092088399e-02,-1.997597190463314132e-02,-4.962750843959058411e-01,7.520980817951179037e-03,7.724075761101478754e-02,6.242309804987723754e-04,-7.628061073636643874e-04,-2.728423059099135961e-03,6.869355657373184265e-03,1.179731175333032997e-02,-1.599254460500562636e-03,-1.616297350300034338e-02,2.017100846242361745e-03,-4.279435292755864872e-02,-2.385480066811579425e-02,8.505822510942590009e-04,-7.261613016534418374e-02,2.846387572991387893e-02,6.832120079112291577e-02,-4.426125467391267554e-03
1.000000000000000021e-02,-3.279010636481471258e-02,-6.968507773875577682e-02,-1.990718478408644646e-02,-4.961607402100984832e-01,7.506554342076591363e-03,7.708256134465552023e-02,6.441960093471811068e-04,-1.217114814639323490e-03,-2.951150173724000937e-03,6.893160628981611325e-03,1.107155927108380289e-02,-1.271877412706603734e-03,-1.547417023654922355e-02,1.977481794252028847e-03,-4.803633596211720480e-02,-2.062545257495571743e-02,3.905842610331688915e-03,-7.259580463274958873e-02,3.696170241539973450e-02,6.958685312439243098e-02,-3.480047598535147661e-03
2.000000000000000042e-02,-3.280476433288510157e-02,-6.971556181694626986e-02,-1.983800731913903589e-02,-4.960536586743029552e-01,7.495821506651031627e-03,7.693133111587613371e-02,6.638139039851283663e-04,-1.722898502426972473e-03,-3.139634173918021999e-03,6.947376569204771757e-03,1.034416786274406155e-02,-8.610323109656990107e-04,-1.476829558397530981e-02,1.947848105957413270e-03,-5.308802680090463771e-02,-1.700673791888150654e-02,6.932323115262321173e-03,-7.294380560900451393e-02,4.515597042347692380e-02,7.173473224750147315e-02,-2.429511067523338133e-03
2.999999999999999889e-02,-3.282472945233493727e-02,-6.974774335383505941e-02,-1.976813688409933059e-02,-4.959538745815204042e-01,7.489601664049363484e-03,7.678728167153425765e-02,6.831896945467394108e-04,-2.278214839285772585e-03,-3.289998918532734823e-03,7.031702207456053989e-03,9.611458199521092163e-03,-3.697996728567330867e-04,-1.403655115644279749e-02,1.929230377169357689e-03,-5.794156958473697938e-02,-1.300223351793989950e-02,9.927340782521580295e-03,-7.365928156407731964e-02,5.303774908749001038e-02,7.475991192223578607e-02,-1.277337995543198143e-03
4.000000000000000083e-02,-3.285048701331229337e-02,-6.978122193237151771e-02,-1.969727399898158968e-02,-4.958614594690406996e-01,7.488682920522573075e-03,7.665071548104473997e-02,7.024385736354847067e-04,-2.881043731176471598e-03,-3.398406186279501889e-03,7.145809788701518520e-03,8.869761394116684045e-03,1.986523564090790159e-04,-1.327019233103884921e-02,1.922630269003915322e-03,-6.258926913608435505e-02,-8.615945914257766569e-03,1.288828196579987727e-02,-7.474099593417120324e-02,6.059844495740010495e-02,7.865656615378327499e-02,-2.649266632869570065e-05
5.000000000000000278e-02,-3.288250172305483277e-02,-6.981555896073350642e-02,-1.962512259085803096e-02,-4.957765214947986721e-01,7.493821276921400210e-03,7.652202215383141493e-02,7.216855999231458962e-04,-3.529288972559913896e-03,-3.461059953918933698e-03,7.289345774483497326e-03,8.115422844293203666e-03,8.410714179070723218e-04,-1.246053721836795809e-02,1.929019102536300113e-03,-6.702359979444104388e-02,-3.852307494134803514e-03,1.581260387235274012e-02,-7.618732853874458921e-02,6.782981009603808453e-02,8.341797532731207165e-02,1.319921755460829686e-03
5.999999999999999778e-02,-3.292121695339633031e-02,-6.985027811553067012e-02,-1.955139024812612911e-02,-4.956992052753710354e-01,7.505739803969535030e-03,7.640167776742301520e-02,7.410653878619713345e-04,-4.220779985203081466e-03,-3.474210633568511168e-03,7.461931558684888922e-03,7.344806060377294908e-03,1.554124434238465325e-03,-1.159897556452298140e-02,1.949336487037545791e-03,-7.123721412093533822e-02,1.283827807785270503e-03,1.869783599450441924e-02,-7.799627737622831514e-02,7.472395004558339549e-02,8.903653319500146046e-02,2.758666658566423513e-03
7.000000000000000666e-02,-3.296705400609363512e-02,-6.988486582715779105e-02,-1.947578846754815726e-02,-4.956296916857927393e-01,7.525127852880793278e-03,7.629024410689333457e-02,7.607217838534532928e-04,-4.953273643339301327e-03,-3.434159264989304801e-03,7.663164197180829910e-03,6.554296472920622188e-03,2.334401182753492298e-03,-1.067697757896131014e-02,1.984488983303686702e-03,-7.522295146299382007e-02,6.787189216087022303e-03,2.154158145552363332e-02,-8.016546079659259139e-02,8.127333145671006287e-02,9.550375470687691437e-02,4.286371568807713361e-03
8.000000000000000167e-02,-3.302041139683215693e-02,-6.991877180683074566e-02,-1.939803289392838526e-02,-4.955681976214152407e-01,7.552640302085571189e-03,7.618836781643012479e-02,7.808075292319234832e-04,-5.724456183737278159e-03,-3.337261658757379595e-03,7.892617150518666316e-03,5.740305216759497738e-03,3.178417943349467339e-03,-9.686102679883826574e-03,2.035348803554236797e-03,-7.897384636999102425e-02,1.265209422932648403e-02,2.434151826933558110e-02,-8.269212004854402387e-02,8.747078937316295211e-02,1.028102846779941626e-01,5.899537878606839897e-03
8.999999999999999667e-02,-3.308166415874930211e-02,-6.995140961478980846e-02,-1.931784355230191375e-02,-4.955149757220547180e-01,7.588896840792484604e-03,7.609677946389470371e-02,8.014839104361179585e-04,-6.531945199144359795e-03,-3.179932486272320485e-03,8.149841038762426979e-03,4.899272887740252491e-03,4.082621217362596491e-03,-8.618008148794778500e-03,2.102752549339873770e-03,-8.248313685093985881e-02,1.887245413697260718e-02,2.709540051362344798e-02,-8.557312219876837822e-02,9.330953416485193719e-02,1.109459072837278570e-01,7.594542718703306203e-03
