t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,1.716682351826648301e-14,4.155287225415804642e-13,3.367098266870982570e-14,-1.527150000001589625e+00,-5.935078817298489184e-13,1.867499999999953753e+00,3.150249158756501799e-13,1.053490628066811041e-12,1.586508702189348696e-13,-2.731481707485272636e-12,-3.842148821320279239e-12,4.146176457719974451e-12,3.373135104567381859e-13,-1.496927581889906378e-13,3.996802888650563546e-13,-5.266009850402042503e-12,-1.874056465567264240e-13,4.972439127115535484e-12,4.646255602480664493e-12,2.322794734332944699e-12,-4.700198563689639286e-13
1.000000000000000021e-02,-1.043012688178545496e-07,-2.204697142295802961e-07,1.552661771985809343e-07,-1.527150424849420762e+00,-6.038841058973844965e-07,1.867499825262057378e+00,1.124221308627372367e-07,-3.117931366136441994e-05,-6.595368533655031080e-05,4.656531170772037755e-05,-1.274533371591057298e-04,-1.811385825851700331e-04,-5.252108005190840801e-05,3.386789920367950629e-05,-6.191032276605116375e-03,-1.311550861546351490e-02,9.306753955691898089e-03,-2.548987573540197407e-02,-3.621687824666305205e-02,-1.054384959367072813e-02,6.830034050715238884e-03
2.000000000000000042e-02,-8.253645403622509825e-07,-1.748658367438730822e-06,1.240768830197437719e-06,-1.527153398548076524e+00,-4.828851694673513955e-06,1.867498594220494246e+00,9.106478843055710190e-07,-1.228841748730438591e-04,-2.607772780612966582e-04,1.859595282000001766e-04,-5.097428234027533015e-04,-7.240960634790816110e-04,-2.116444595205950051e-04,1.377208786195242526e-04,-1.210114001219165722e-02,-2.577117369166618752e-02,1.856084720994239864e-02,-5.096334556835790952e-02,-7.236130850750265020e-02,-2.131793061660415892e-02,1.399611827940225144e-02
2.999999999999999889e-02,-2.754004188063470471e-06,-5.849994772445392781e-06,4.181671172324054641e-06,-1.527161468250644472e+00,-1.628922302655946285e-05,1.867495229594724249e+00,3.111239972929290550e-06,-2.721870930357529446e-04,-5.797893544581038611e-04,4.175082516647585056e-04,-1.146587996366817304e-03,-1.628073912003954191e-03,-4.795961363959632567e-04,3.148920527250682823e-04,-1.770675898650192481e-02,-3.795052270238812031e-02,2.773274429650457451e-02,-7.639714314853558730e-02,-1.084184879433574555e-01,-3.230693643542897897e-02,2.149272989242206541e-02
4.000000000000000083e-02,-6.450590100820875510e-06,-1.374228288744925271e-05,9.894918042531633377e-06,-1.527177177143835829e+00,-3.859059303439496238e-05,1.867488632613829802e+00,7.463811284159344125e-06,-4.759275322390479315e-04,-1.018147551314153463e-03,7.402424642579972852e-04,-2.037476216666576911e-03,-2.892125777631064740e-03,-8.584477675600871334e-04,5.686579550643561329e-04,-2.298484988835429454e-02,-4.963784344685175792e-02,3.679306287129405217e-02,-1.017681039651661956e-01,-1.443736555517799447e-01,-4.349530821360962640e-02,2.931407624806446968e-02
5.000000000000000278e-02,-1.244274401917482084e-05,-2.659413033663711275e-05,1.928629804098258446e-05,-1.527203062131722300e+00,-7.532835586497264315e-05,1.867477684572256935e+00,1.475044597054718492e-05,-7.307173304201958468e-04,-1.570856263466112457e-03,1.152900258504207295e-03,-3.181663803220668735e-03,-4.515157933041026063e-03,-1.350114231381546650e-03,9.022358633675840603e-04,-2.791293242587264065e-02,-6.081820277717085721e-02,4.571261405666664918e-02,-1.270531879434018130e-01,-1.802120979403253609e-01,-5.486725194014129697e-02,3.745409963712192924e-02
5.999999999999999778e-02,-2.122309178435992800e-05,-4.552345524332640497e-05,3.324752497526787609e-05,-1.527241651531915378e+00,-1.300862335881238473e-04,1.867461248409073349e+00,2.578509372031140989e-05,-1.032946457185946734e-03,-2.232774523972608661e-03,1.653928972658311788e-03,-4.578177389933434614e-03,-6.495929779126002543e-03,-1.956351361941395528e-03,1.318781173527180245e-03,-3.246911873145184868e-02,-7.147746436645727175e-02,5.446244253543545966e-02,-1.522295018793770605e-01,-2.159191551077865312e-01,-6.640675565468430464e-02,4.590648224249192777e-02
7.000000000000000666e-02,-3.324707482374972365e-05,-7.159607273719786706e-05,5.265334266052493309e-05,-1.527295462786432578e+00,-2.064348102445711936e-04,1.867438170309019041e+00,4.141293801864648350e-05,-1.378789101989727050e-03,-2.998624057115714149e-03,2.241487725564904939e-03,-6.225815505802818894e-03,-8.833054407816150547e-03,-2.678753856410337475e-03,1.821384824045451344e-03,-3.663214602106248247e-02,-8.160230550315142328e-02,6.301386634850687785e-02,-1.772743216864015869e-01,-2.514802262262642030e-01,-7.809760684967741173e-02,5.466465127330237539e-02
8.000000000000000167e-02,-4.893082413821818054e-05,-1.058243628150731732e-04,7.835865705225183769e-05,-1.527367000189470581e+00,-3.079300718114548279e-04,1.867407281323610890e+00,6.250973891232612233e-05,-1.764210085010517719e-03,-3.862997494398093170e-03,2.913450347821341328e-03,-8.123150376451462873e-03,-1.152499922271508007e-02,-3.518753357259561242e-03,2.413070772679539507e-03,-4.038140846874034573e-02,-9.118023289295643097e-02,7.133851635053936602e-02,-2.021651144298952096e-01,-2.868807754215677575e-01,-8.992341003216677842e-02,6.372178426940967866e-02
8.999999999999999667e-02,-6.864909997808733193e-05,-1.491660211344026060e-04,1.111956996573340442e-04,-1.527458752634295314e+00,-4.381119526630689628e-04,1.867367399010544604e+00,8.998115081010731324e-05,-2.184971582691238971e-03,-4.820366743524212225e-03,3.667408705598089545e-03,-1.026852994485994396e-02,-1.457008661752268522e-02,-4.477616710816458012e-03,3.096793526964757449e-03,-4.369698825798888631e-02,-1.001995974508552295e-01,7.940837527841348997e-02,-2.268795601289108066e-01,-3.221063375494036540e-01,-1.018676044279854948e-01,7.307081457200877150e-02
