t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,1.873501354054951662e-16,-6.938893903907228378e-18,-2.775557561562891351e-17,-1.527150000000000007e+00,-1.214306433183764966e-17,1.867499999999999938e+00,-6.125742274543100052e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.775557561562891351e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.775557561562891351e-17,0.000000000000000000e+00,-3.469446951953614189e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.136611306331058478e-07,1.548855523374732431e-07,-1.644814846299947415e-07,-1.527149979819905079e+00,3.602664484536805398e-09,1.867499909290486260e+00,-5.248482735499277634e-08,-6.421805088076097678e-05,4.654596605424864342e-05,-4.930907543297361362e-05,6.049461475934951120e-06,1.087983881926954822e-06,-2.722804088416766816e-05,-1.576351568379841258e-05,-1.289124252491222547e-02,9.341135481042886490e-03,-9.847488098601168624e-03,1.208050250275950364e-03,2.205004234933750180e-04,-5.451558058742369053e-03,-3.159892180887648259e-03
2.000000000000000042e-02,-1.718764687973003133e-06,1.245437055787543942e-06,-1.312950827131429864e-06,-1.527149838930681902e+00,2.940799892350463390e-08,1.867499273158899520e+00,-4.213087984422417112e-07,-2.587521020155586038e-04,1.874436588317309252e-04,-1.966453888359197461e-04,2.412264722854753806e-05,4.471058785188954576e-06,-1.091376672330159856e-04,-6.333781202645536118e-05,-2.606064964629488043e-02,1.886854853774470875e-02,-1.960366884568794099e-02,2.404593692171169781e-03,4.593155105674737323e-04,-1.093506744750792625e-02,-6.361773760761351738e-03
2.999999999999999889e-02,-5.832122524571636700e-06,4.224305089656578944e-06,-4.420937749953586225e-06,-1.527149457685477829e+00,1.013123200474937564e-07,1.867497543316834818e+00,-1.426640814300150211e-06,-5.863067524560674863e-04,4.245015961323619870e-04,-4.410427388670133588e-04,5.409998083709981800e-05,1.034126745858566897e-05,-2.460108827810097618e-04,-1.431312566024457624e-04,-3.949275904991095959e-02,2.857135258065797781e-02,-2.925794048074591841e-02,3.588731335485334344e-03,7.182220745811907468e-04,-1.644302451068280213e-02,-9.603333987934913052e-03
4.000000000000000083e-02,-1.389681414331607949e-05,1.006167762944727893e-05,-1.045378229717534537e-05,-1.527148717677883960e+00,2.452209591483956256e-07,1.867494169031172158e+00,-3.392617374709438008e-06,-1.049430417624549160e-03,7.594183988622536493e-04,-7.814296377659199792e-04,9.585297735565169485e-05,1.890834342867943506e-05,-4.380546163188012826e-04,-2.555289484169027763e-04,-5.317179908056426235e-02,3.843845672155723342e-02,-3.879984917895964308e-02,4.759580570958792632e-03,9.989809501090777914e-04,-2.196791930330344034e-02,-1.288223020153397846e-02
5.000000000000000278e-02,-2.728060967097994670e-05,1.974417105367061686e-05,-2.036558953626972540e-05,-1.527147501830190546e+00,4.892243201724567915e-07,1.867488597875001766e+00,-6.647108327328531564e-06,-1.650512319102522647e-03,1.193780805406640224e-03,-1.216630841366410365e-03,1.492444102624609220e-04,3.039953599759698892e-05,-6.854007004188046245e-04,-4.008924078887769228e-04,-6.708170543163514965e-02,4.845857727800224196e-02,-4.821909915246944123e-02,5.916275795513873878e-03,1.303333951617181808e-03,-2.750224391191335993e-02,-1.619608965002660925e-02
5.999999999999999778e-02,-4.737436356900928035e-05,3.427370187310932367e-05,-3.509820006191558309e-05,-1.527145694479941751e+00,8.637720358808141912e-07,1.867480276478345802e+00,-1.152147960788101333e-05,-2.391779642781468804e-03,1.729061802002135762e-03,-1.745368979208638833e-03,2.141284845784920587e-04,4.505940488032226555e-05,-9.881059332665844287e-04,-5.795592851220363311e-04,-8.120613812500590556e-02,5.862024946673095871e-02,-5.750556256735785132e-02,7.057969020774988375e-03,1.633000843327465923e-03,-3.303850075348790244e-02,-1.954251133001774776e-02
7.000000000000000666e-02,-7.559038077951424253e-05,5.466634035154099223e-05,-5.558017729365673167e-05,-1.527143181464730270e+00,1.401844919194161195e-06,1.867468651277848668e+00,-1.835035315527073555e-05,-3.275294868192364130e-03,2.366618870938004028e-03,-2.366266282859953891e-03,2.903510159856409782e-04,6.314958461246518266e-05,-1.346152223336189368e-03,-7.918430866595743472e-04,-9.552849876400655582e-02,6.891183927404101461e-02,-6.664928926690930067e-02,8.183830464401844682e-03,1.989676324048489549e-03,-3.856921084380580955e-02,-2.291906784375582345e-02
8.000000000000000167e-02,-1.133607570313740560e-04,8.195114720457505591e-05,-8.272581253957788977e-05,-1.527139850205170291e+00,2.139124408060664508e-06,1.867453169264605917e+00,-2.747136418742893738e-05,-4.302953271656357118e-03,3.107692358296030438e-03,-3.077846410461383166e-03,3.777496157704357581e-04,8.494851889663366943e-05,-1.759446816560562453e-03,-1.038032920899355617e-03,-1.100319480417479984e-01,7.932155549114830451e-02,-7.564051629189746939e-02,9.293049123785573212e-03,2.375027030742177941e-03,-4.408692202669187848e-02,-2.632330727378698332e-02
8.999999999999999667e-02,-1.621356950576521047e-04,1.171689945803083024e-04,-1.174341487779458288e-04,-1.527135589785993286e+00,3.114159204391651523e-06,1.867433278729312418e+00,-3.922491602536360360e-05,-5.476480605721469226e-03,3.953403962818354857e-03,-3.878536365424458624e-03,4.761538814147268971e-04,1.107511650941378207e-04,-2.227822605563136490e-03,-1.318393262336172485e-03,-1.246994234869599483e-01,8.983746190235428197e-02,-8.446967718887157806e-02,1.038483333167357532e-02,2.790688564583360034e-03,-4.958421715560703408e-02,-2.975275507318146662e-02
1.000000000000000056e-01,-2.233817984980559059e-04,1.613713725405376681e-04,-1.605880240876087536e-04,-1.527130291035210474e+00,4.368528809591630044e-06,1.867408430003908437e+00,-5.395393265423973690e-05,-6.797430957169601530e-03,4.904755347369767725e-03,-4.766668507113731162e-03,5.853855926504921651e-04,1.408686691049844657e-04,-2.751038520431962203e-03,-1.633163734776879724e-03,-1.395136574292253073e-01,1.004474896137072387e-01,-9.312741109763711389e-02,1.145841129330544758e-02,3.238262543252024093e-03,-5.505372221912389202e-02,-3.320491596974575049e-02
1.100000000000000006e-01,-2.985803452833335589e-04,2.156191822752258477e-04,-2.130531356357552803e-04,-1.527123846601287305e+00,5.947003662051923892e-06,1.867378076198914716e+00,-7.200360921227961695e-05,-8.267184785696799626e-03,5.962626874337077082e-03,-5.740482651264717379e-03,7.052589127919021246e-04,1.756280109177795043e-04,-3.328780000432722368e-03,-1.982558913661294775e-03,-1.544571951652899122e-01,1.111394495097115936e-01,-1.016045716093642720e-01,1.251303160465888457e-02,3.719313683177115706e-03,-6.048811440189693495e-02,-3.667727588262693905e-02
1.199999999999999956e-01,-3.892255423176727448e-04,2.809815172955786315e-04,-2.756771251089434383e-04,-1.527116151028280688e+00,7.897701584688969427e-06,1.867341673935646096e+00,-9.372116059858098943e-05,-9.886947145184938820e-03,7.127776466183875087e-03,-6.798128257801070926e-03,8.355805951537691959e-04,2.153716211470620980e-04,-3.960659545974580704e-03,-2.366768147604039665e-03,-1.695124133079348172e-01,1.219010448255163775e-01,-1.098922353869966201e-01,1.354796375142156180e-02,4.235366915425964156e-03,-6.588013007281338929e-02,-4.016730384970797207e-02
1.300000000000000044e-01,-4.968227632947787905e-04,3.585344338634440116e-04,-3.492886864491228662e-04,-1.527107100828885455e+00,1.027224025440139134e-05,1.867298684072510317e+00,-1.194555683931692967e-04,-1.165774608929692063e-02,8.400838592251410122e-03,-7.937666703633444384e-03,9.761501943618173952e-04,2.604569689129828877e-04,-4.646217350059008051e-03,-2.785955399258011316e-03,-1.846615382987254472e-01,1.327198838219090238e-01,-1.179817105398853899e-01,1.456249858832249673e-02,4.787904538902610849e-03,-7.122257269209984754e-02,-4.367245396418641817e-02
1.400000000000000133e-01,-6.228867714968184827e-04,4.493597119235203307e-04,-4.346966967322826942e-04,-1.527096594555346076e+00,1.312588540852057161e-05,1.867248572424595521e+00,-1.495573262824565701e-04,-1.358043126294063499e-02,9.782323382770498343e-03,-9.157073637943489650e-03,1.126760282356620377e-03,3.112561214549202206e-04,-5.384922008360319701e-03,-3.240259105582528939e-03,-1.998866650657961930e-01,1.435834925503426118e-01,-1.258645447448319132e-01,1.555594879847388076e-02,5.378363414487271482e-03,-7.650832062925332078e-02,-4.719016731872646697e-02
