t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,-5.551115123125782702e-17,-4.336808689942017736e-18,-1.110223024625156540e-16,-1.527150000000000007e+00,-3.469446951953614189e-18,1.867499999999999938e+00,3.469446951953614189e-18,0.000000000000000000e+00,-2.775557561562891351e-17,1.249000902703301108e-16,1.144917494144692682e-16,-6.245004513516505540e-17,5.551115123125782702e-17,-2.359223927328457648e-16,-4.440892098500626162e-16,0.000000000000000000e+00,0.000000000000000000e+00,2.220446049250313081e-16,2.775557561562891351e-17,0.000000000000000000e+00,5.551115123125782702e-17
1.000000000000000021e-02,2.174722792274543228e-07,3.754281607623123577e-07,-4.400093628369588891e-08,-1.527149745686192439e+00,4.533527538391425711e-07,1.867500864869269694e+00,-7.072324777720587254e-07,6.555764218511074852e-05,1.126326644585017310e-04,-1.346193129745439183e-05,7.639057487455421555e-05,1.360489069855677819e-04,2.594536345129810407e-04,-2.120400172504311820e-04,1.323754897898640238e-02,2.252785662833197561e-02,-2.797021945616887974e-03,1.531648394276000601e-02,2.722665309667436639e-02,5.188704432451475557e-02,-4.235562614273231247e-02
2.000000000000000042e-02,1.764908362473712156e-06,3.003617455241391927e-06,-3.729287935949242915e-07,-1.527147957856761717e+00,3.630124080201989704e-06,1.867506918052871834e+00,-5.647287379047657649e-06,2.672344716464251316e-04,4.505473198061360897e-04,-5.803028275203013487e-05,3.070765602750578872e-04,5.448343591556918490e-04,1.037584848807105798e-03,-8.460164665575809796e-04,2.722010335777242176e-02,4.505276876148253673e-02,-6.220968978685825421e-03,3.085702627341393653e-02,5.454369060562698490e-02,1.037272787459709439e-01,-8.438244740239225772e-02
2.999999999999999889e-02,6.040371736617184390e-06,1.013687756030832529e-05,-1.329159013355823921e-06,-1.527143082561011278e+00,1.226183623183664313e-05,1.867523343162614813e+00,-1.902260640329478465e-05,6.123664226240221886e-04,1.013605613241583053e-03,-1.399634498996405200e-04,6.942365677447680673e-04,1.227151417944085483e-03,2.333678520779415306e-03,-1.898496739569540325e-03,4.192463045773897612e-02,6.755295282674030066e-02,-1.026952962697414221e-02,4.660920308851429494e-02,8.192933354647534416e-02,1.554713095155743630e-01,-1.260516136433216250e-01
4.000000000000000083e-02,1.451411284573313792e-05,2.402504531258838931e-05,-3.317521375733456134e-06,-1.527133544686229971e+00,2.908687094928161357e-05,1.867555314190677329e+00,-4.499986892295053338e-05,1.108052889363491268e-03,1.801451322823733377e-03,-2.654925004435453127e-04,1.239924101834264433e-03,2.183576708409666872e-03,4.146525993878286825e-03,-3.365761614150351768e-03,5.732685987100359648e-02,9.000662123695742090e-02,-1.493954972987202034e-02,6.256041840830871281e-02,1.093616763006253906e-01,2.070698311965374072e-01,-1.673346556839578336e-01
5.000000000000000278e-02,2.872614230209931933e-05,4.691330608324562556e-05,-6.804984584158956795e-06,-1.527117749217213882e+00,5.684827903348969565e-05,1.867607990579450705e+00,-8.770714523558320922e-05,1.761144498784095050e-03,2.813510397408816328e-03,-4.408127469407464578e-04,1.946065884906754070e-03,3.414467233396822291e-03,6.474426191190597348e-03,-5.243809166506827740e-03,7.340131371030692020e-02,1.123919984103309705e-01,-2.022703250842708411e-02,7.869791330109433825e-02,1.368187027456137794e-01,2.584736728401901829e-01,-2.082035057534424305e-01
5.999999999999999778e-02,5.028368336256210016e-05,8.104001635341342524e-05,-1.232025659566311055e-05,-1.527094082512083562e+00,9.829157886922505370e-05,1.867686512304826740e+00,-1.512310899544019079e-04,2.578231193318808716e-03,4.048991156876482339e-03,-6.720753248706130010e-04,2.814460273498855473e-03,4.919959349794403303e-03,9.315187190693739391e-03,-7.528358886040028425e-03,9.012133838760484628e-02,1.346873368070642396e-01,-2.612713957189217312e-02,9.500877506899764458e-02,1.642783025384871864e-01,3.096338440353947341e-01,-2.486305175772984544e-01
7.000000000000000666e-02,8.085850684695334125e-05,1.286345290939914946e-04,-2.045330079835454940e-05,-1.527060913593476288e+00,1.561625455277400874e-04,1.867795994977539120e+00,-2.396141775446127193e-04,3.565630639035764597e-03,5.506884652764850938e-03,-9.653787854558659558e-04,3.846775766819477468e-03,6.699967908323750665e-03,1.266612826018656025e-02,-1.021485598913364837e-02,1.074591378857731178e-01,1.568709329723787238e-01,-3.263419286196118235e-02,1.114799464886822578e-01,1.917182875362075378e-01,3.605015807874362155e-01,-2.885884860768859750e-01
8.000000000000000167e-02,1.221841518255707595e-04,1.919150235537236092e-04,-3.185476822914870191e-05,-1.527016595454190995e+00,2.332049920901644539e-04,1.867941524967145162e+00,-3.568519819768879221e-04,4.729376973788358522e-03,7.185965189321674544e-03,-1.326760712616838981e-03,5.044549607902972486e-03,8.754185558165027484e-03,1.652408234997275460e-02,-1.329847592794541726e-02,1.253858084861403654e-01,1.789211435753161328e-01,-3.974167753488228039e-02,1.280982351005196807e-01,2.191164083409074537e-01,4.110283911827278258e-01,-3.280506666676972771e-01
8.999999999999999667e-02,1.760530355489669174e-04,2.730863410597048047e-04,-4.723534612171035804e-05,-1.526959466376356822e+00,3.321585448467382967e-04,1.868128154553211795e+00,-5.068905024258396142e-04,6.075209909757121884e-03,9.084791004880491891e-03,-1.762189373432202638e-03,6.409186477870475705e-03,1.108208221760973236e-02,2.088539904094120769e-02,-1.677412909011218034e-02,1.438713749129102715e-01,2.008164014327462055e-01,-4.744224578065445869e-02,1.448503225398059813e-01,2.464503709576646717e-01,4.611661007958746672e-01,-3.669907941419171538e-01
